Description,Start date,Start time,End date,End time,Duration,Tags
Искал рабочее API словаря,2020-08-19,14:00:00,2020-08-19,15:00:00,01:00:00,
Искал рабочее API словаря,2020-08-20,08:00:00,2020-08-20,09:00:00,01:00:00,
Искал рабочее API словаря,2020-08-20,13:00:00,2020-08-20,13:15:00,00:15:00,
"Добавил axios в проект, настроил devServer.proxy",2020-08-20,14:00:00,2020-08-20,14:30:00,00:30:00,feature
Реализовал UI компонент TextField,2020-08-21,20:00:00,2020-08-21,23:00:00,03:00:00,feature
Реализовал UI компонент header,2020-08-21,23:00:00,2020-08-21,23:55:00,00:55:00,feature
Добавил font awesome для иконок,2020-08-21,23:55:00,2020-08-22,00:25:00,00:30:00,feature
Реализовывал flexbox layout,2020-08-22,18:25:00,2020-08-22,19:45:00,01:20:00,feature
Реализовывал flexbox layout,2020-08-22,20:30:00,2020-08-22,21:05:00,00:35:00,feature
Реализовывал flexbox layout,2020-08-22,22:00:00,2020-08-23,00:35:00,02:35:00,feature
Исправил проблему с позиционированием колонок,2020-08-23,15:00:26,2020-08-23,16:20:26,01:20:00,bug
Реализовывал UI элементы list и list-item,2020-08-23,16:44:53,2020-08-23,17:19:53,00:35:00,feature
Реализовывал UI элементы list и list-item,2020-08-23,17:20:22,2020-08-23,18:32:22,01:12:00,feature
Реализовывал collapse/expand функционал для list-item,2020-08-24,11:30:37,2020-08-24,12:30:37,01:00:00,feature
Реализовывал progress-bar для text-field,2020-08-24,14:30:37,2020-08-24,15:45:37,01:15:00,feature
Реализовывал отображение реального текста вместо заглушек,2020-08-24,20:00:25,2020-08-24,21:00:25,01:00:00,feature
Реализовывал дополнительные слоты для иконок в компоненте list-item,2020-08-24,22:00:25,2020-08-24,22:30:25,00:30:00,feature
"Провел небольшой рефакторинг, перенес все связанное со словарем в vuex",2020-08-25,13:00:00,2020-08-25,13:30:00,00:30:00,feature
Реализовывал сохранение и удаление слов в закладки,2020-08-25,14:00:00,2020-08-25,15:00:00,01:00:00,feature
Реализовывал хранение закладок в indexed db,2020-08-25,22:00:14,2020-08-25,23:25:14,01:25:00,feature
Реализовывал компонент для отображения закладок,2020-08-25,23:30:14,2020-08-25,23:45:14,00:15:00,feature
Переделывал внешний вид кнопки перехода к закладкам,2020-08-26,09:00:51,2020-08-26,09:25:51,00:25:00,style
Перерабатывал хранение закладок в vuex и indexed db,2020-08-26,09:30:51,2020-08-26,09:40:51,00:10:00,refactor
Реализовывал удаление закладок со страницы закладок,2020-08-26,09:40:51,2020-08-26,09:48:51,00:08:00,feature
Реализовывал поиск по слову в сохраненных закладках,2020-08-26,19:30:51,2020-08-26,19:50:51,00:20:00,feature
Реализовывал UI компоненты checkbox-group и checkbox,2020-08-26,22:50:51,2020-08-26,23:30:51,00:40:00,feature
Реализовывал сортировку закладок перетаскиванием с использованием библиотеки vue-draggable,2020-08-27,07:35:00,2020-08-27,08:50:00,01:15:00,feature
Реализовывал фильтрацию закладок по частам речи,2020-08-27,17:20:32,2020-08-27,18:10:32,00:50:00,feature
,,,,Total,25:30:00,
